Month,Day,Hour,Minute,Second,Microsecond,Speed,Vx,Vy,PosX,PosY,PosZ,Bx,By,Flow Mag,Flow Angle
9,4,19,6,0,346062,0.01582172703240219,0.01582171767950058,1.7203430616063997e-05,-0.15321257710456848,0.03943977504968643,0.8511592745780945,0.6400000000000006,1.7600000000000051,1.8727519857151451,246.63470265261498
9,4,19,6,0,395270,0.010110505156663624,0.004912779200822115,0.008836680091917515,-0.1563882827758789,0.04869983345270157,0.8452703356742859,-0.35999999999999943,2.760000000000005,2.7833792411383733,259.9947007090468
9,4,19,6,0,440385,0.00941775453876755,0.0063238064758479595,0.00697879446670413,-0.14911191165447235,0.046672526746988297,0.8457580208778381,3.6400000000000006,2.760000000000005,4.568063046850386,258.25605036353636
9,4,19,6,0,495223,0.009786726417559054,-0.008356696926057339,0.0050936853513121605,-0.16014964878559113,0.04515114054083824,0.8481928706169128,-1.3599999999999994,0.7600000000000051,1.5579473675320377,274.4588203615841
9,4,19,6,0,540107,0.021638873289914488,-0.021483082324266434,0.0025919126346707344,-0.17157353460788727,0.0433601438999176,0.8474057912826538,0.6400000000000006,1.7600000000000051,1.8727519857151451,263.1222314227402
9,4,19,6,0,587737,0.020508418298794975,-0.019369786605238914,0.006738441064953804,-0.16935613751411438,0.04923206567764282,0.8443901538848877,3.6400000000000006,-0.23999999999999488,3.647903507495778,249.02014636377334
9,4,19,6,0,645272,0.011621236208004568,0.003996530547738075,0.010912418365478516,-0.15529552102088928,0.05539647489786148,0.8451122641563416,-2.3599999999999994,-0.23999999999999488,2.372172000509237,261.8038381928018
9,4,19,6,0,682738,0.03057967310172995,0.027621641755104065,0.013121025636792183,-0.159733846783638,0.059918757528066635,0.8544573783874512,2.6400000000000006,3.760000000000005,4.594257284915598,268.72164928145344
9,4,19,6,0,745719,0.07130820384244445,0.07053496688604355,0.010472744703292847,-0.1519419103860855,0.059489428997039795,0.8565301895141602,0.6400000000000006,0.7600000000000051,0.9935793878699419,236.43292220295416
9,4,19,6,0,793421,0.11076283132247756,0.11046836525201797,0.008071250282227993,-0.15027771890163422,0.0590570867061615,0.8582853078842163,0.6400000000000006,2.760000000000005,2.8332313707143704,238.80218635628165
9,4,19,6,0,840874,0.15243326409568136,0.15203820168972015,0.010967462323606014,-0.14671389758586884,0.06373807787895203,0.8564302921295166,0.6400000000000006,1.7600000000000051,1.8727519857151451,256.8802475411019
9,4,19,6,0,888223,0.19494666920962037,0.194474458694458,0.013560558669269085,-0.13897287845611572,0.0681266114115715,0.8526564240455627,0.6400000000000006,1.7600000000000051,1.8727519857151451,244.37629064542637
9,4,19,6,0,935435,0.2427160443097117,0.24250240623950958,0.010181411169469357,-0.11893940716981888,0.0672517642378807,0.8526185154914856,0.6400000000000006,0.7600000000000051,0.9935793878699419,243.3736321905809
9,4,19,6,0,983200,0.28720842469102287,0.2871193289756775,0.007153330836445093,-0.09180735796689987,0.06621804088354111,0.8623853921890259,3.6400000000000006,4.760000000000005,5.99226167652916,243.9099282853104
9,4,19,6,1,47159,0.3051644877289148,0.3049927055835724,0.010237876325845718,-0.086170993745327,0.0708281621336937,0.8550130724906921,2.6400000000000006,0.7600000000000051,2.747216773390846,232.06538152198573
9,4,19,6,1,94364,0.3142746808727732,0.3141023516654968,0.010406138375401497,-0.08055128902196884,0.07218199968338013,0.847585141658783,1.6400000000000006,0.7600000000000051,1.8075397644312032,222.71683204788624
9,4,19,6,1,141685,0.32398278130216634,0.32364407181739807,0.014810717664659023,-0.06986305117607117,0.07717608660459518,0.835627555847168,2.6400000000000006,1.7600000000000051,3.172885122408314,215.42495137276492
9,4,19,6,1,188989,0.3360593864391482,0.335683137178421,0.015897881239652634,-0.05150807648897171,0.07870706170797348,0.8229286670684814,4.640000000000001,4.760000000000005,6.647345334793436,214.58853492578154
