Month,Day,Hour,Minute,Second,Microsecond,Speed,Vx,Vy,PosX,PosY,PosZ,Bx,By,Flow Mag,Flow Angle
9,4,19,9,32,416180,0.05435879098973406,0.015667343512177467,0.05205201730132103,-0.032322317361831665,-0.04948750510811806,0.1271374225616455,-0.23000000000000398,0.5499999999999972,0.5961543424315542,292.6937949450928
9,4,19,9,32,463169,0.060196086615091765,0.008921392261981964,0.0595313161611557,-0.03209386020898819,-0.04529793933033943,0.13608326017856598,-0.23000000000000398,2.549999999999997,2.560351538363431,283.92385175316036
9,4,19,9,32,510802,0.06467017833952413,0.005585202481597662,0.06442854553461075,-0.03142707049846649,-0.04039905592799187,0.14726002514362335,-0.23000000000000398,0.5499999999999972,0.5961543424315542,286.8676189712021
9,4,19,9,32,558176,0.06420136521869363,0.0016627340810373425,0.06417983025312424,-0.03125476837158203,-0.03593176230788231,0.1583220511674881,2.769999999999996,2.549999999999997,3.7650232403001134,272.0465011090044
9,4,19,9,32,621413,0.06115852242492678,-0.0019514958839863539,0.06112737953662872,-0.03142131119966507,-0.031658537685871124,0.17071978747844696,1.769999999999996,0.5499999999999972,1.8534832073692986,257.73729691228004
9,4,19,9,32,668953,0.05510933427774679,-0.004376962780952454,0.05493524298071861,-0.03160496801137924,-0.027770616114139557,0.1826227307319641,1.769999999999996,4.549999999999997,4.882151165213953,247.5842673864807
9,4,19,9,32,716386,0.04669942619064915,-0.002432224340736866,0.04663604497909546,-0.03095354326069355,-0.024415085092186928,0.1923850029706955,2.769999999999996,2.549999999999997,3.7650232403001134,235.5708022018133
9,4,19,9,32,764365,0.03685159716500329,-0.00874209962785244,0.03579966351389885,-0.03249289467930794,-0.022116268053650856,0.20369097590446472,-0.23000000000000398,-0.45000000000000284,0.5053711507397355,215.95523729733833
9,4,19,9,32,812271,0.03393277296771432,-0.003844010643661022,0.03371433913707733,-0.03143341466784477,-0.01821006089448929,0.21642039716243744,-2.230000000000004,-0.45000000000000284,2.2749505489131012,232.92625081055388
9,4,19,9,32,859741,0.02572012188695002,-0.005085840355604887,0.025212276726961136,-0.03197064250707626,-0.016460075974464417,0.229531928896904,4.769999999999996,0.5499999999999972,4.801603898698846,224.07876611390498
9,4,19,9,32,907119,0.02981834662744466,-0.0018539710436016321,0.029760655015707016,-0.03134312853217125,-0.011524797417223454,0.24121102690696716,3.769999999999996,3.549999999999997,5.178358813369343,200.8482417523692
